city,latitude,longitude,date,PM2_5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,wind_dir,dist_to_road,dist_to_industry,dist_to_farm,fire_nearby,is_festival_day,festival_name,is_election_period,is_sports_event,pollution_source
Delhi,28.608243,77.241407,2010-01-01,204.34,433.75,56.05,37.81,1.709,27.19,37.48,73.81,2.3,65.46,0.162,0.726,2.232,0,1,New Year,0,0,fire_crackers
Mumbai,19.071868,72.867394,2010-01-01,325.95,342.53,12.22,16.07,2.632,16.19,30.25,49.19,2.56,246.32,0.464,0.26,2.051,0,1,New Year,0,0,fire_crackers
Chennai,13.090851,80.252962,2010-01-01,205.12,259.27,43.01,19.47,2.723,21.36,25.24,79.03,3.52,50.73,1.296,0.155,13.002,0,1,New Year,0,0,fire_crackers
Kolkata,22.570909,88.357102,2010-01-01,26.89,334.19,39.03,25.61,3.484,24.25,26.89,40.09,1.21,262.66,0.812,4.365,1.917,0,1,New Year,0,0,fire_crackers
Bengaluru,12.96272,77.574402,2010-01-01,154.43,491.39,48.59,1.18,2.309,34.29,36.87,50.67,1.79,334.69,1.321,2.007,6.155,0,1,New Year,0,0,fire_crackers
Hyderabad,17.37989,78.472035,2010-01-01,168.89,310.31,12.8,24.12,3.344,30.06,26.59,34.52,2.37,43.15,0.33,5.726,1.171,0,1,New Year,0,0,fire_crackers
Pune,18.527103,73.830664,2010-01-01,252.68,720.33,36.45,25.74,1.78,15.98,34.86,73.53,4.19,132.4,0.8,2.008,2.302,0,1,New Year,0,0,fire_crackers
Guwahati,26.156017,91.735324,2010-01-01,110.85,152.41,42.14,11.06,2.304,18.97,37.3,45.9,2.52,332.89,1.679,0.597,3.236,0,1,New Year,0,0,fire_crackers
Lucknow,26.855985,80.963969,2010-01-01,58.62,223.28,53.72,26.4,2.088,34.16,23.92,64.18,3.44,1.82,0.14,1.591,3.532,0,1,New Year,0,0,fire_crackers
Kanpur,26.455819,80.317084,2010-01-01,124.63,416.57,82.31,17.63,2.584,19.33,23.11,58.61,3.51,321.14,0.798,3.168,2.095,0,1,New Year,0,0,fire_crackers
