Year,Festival,City,Latitude,Longitude,PM2.5_pre,PM2.5_during,PM10_pre,PM10_during,NO2_pre,NO2_during,SO2_pre,SO2_during,CO_pre,CO_during,O3_pre,O3_during,Festival_Date
2014,Diwali,Delhi,28.6139,77.209,70,182,126,315,25.2,37.8,7,10.5,0.84,1.26,39.2,26.13333333,23-10-2014
2014,Diwali,Mumbai,19.076,72.8777,42.5,110.5,76.5,191.25,15.3,22.95,4.25,6.375,0.51,0.765,23.8,15.86666667,23-10-2014
2014,Diwali,Kolkata,22.5726,88.3639,55,143,99,247.5,19.8,29.7,5.5,8.25,0.66,0.99,30.8,20.53333333,23-10-2014
2014,Diwali,Chennai,13.0827,80.2707,37.5,97.5,67.5,168.75,13.5,20.25,3.75,5.625,0.45,0.675,21,14,23-10-2014
2014,Diwali,Bengaluru,12.9716,77.5946,35,91,63,157.5,12.6,18.9,3.5,5.25,0.42,0.63,19.6,13.06666667,23-10-2014
2014,Diwali,Hyderabad,17.385,78.4867,47.5,123.5,85.5,213.75,17.1,25.65,4.75,7.125,0.57,0.855,26.6,17.73333333,23-10-2014
2014,Holi,Delhi,28.6139,77.209,70,140,126,239.4,25.2,32.76,7,9.1,0.84,1.092,39.2,30.15384615,17-03-2014
2014,Holi,Mumbai,19.076,72.8777,42.5,85,76.5,145.35,15.3,19.89,4.25,5.525,0.51,0.663,23.8,18.30769231,17-03-2014
2014,Holi,Kolkata,22.5726,88.3639,55,110,99,188.1,19.8,25.74,5.5,7.15,0.66,0.858,30.8,23.69230769,17-03-2014
2014,Holi,Chennai,13.0827,80.2707,37.5,75,67.5,128.25,13.5,17.55,3.75,4.875,0.45,0.585,21,16.15384615,17-03-2014
2014,Holi,Bengaluru,12.9716,77.5946,35,70,63,119.7,12.6,16.38,3.5,4.55,0.42,0.546,19.6,15.07692308,17-03-2014
2014,Holi,Hyderabad,17.385,78.4867,47.5,95,85.5,162.45,17.1,22.23,4.75,6.175,0.57,0.741,26.6,20.46153846,17-03-2014
2014,Pongal,Delhi,28.6139,77.209,70,98,126,163.8,25.2,30.24,7,8.4,0.84,1.008,39.2,32.66666667,14-01-2014
2014,Pongal,Mumbai,19.076,72.8777,42.5,59.5,76.5,99.45,15.3,18.36,4.25,5.1,0.51,0.612,23.8,19.83333333,14-01-2014
2014,Pongal,Kolkata,22.5726,88.3639,55,77,99,128.7,19.8,23.76,5.5,6.6,0.66,0.792,30.8,25.66666667,14-01-2014
2014,Pongal,Chennai,13.0827,80.2707,37.5,52.5,67.5,87.75,13.5,16.2,3.75,4.5,0.45,0.54,21,17.5,14-01-2014
2014,Pongal,Bengaluru,12.9716,77.5946,35,49,63,81.9,12.6,15.12,3.5,4.2,0.42,0.504,19.6,16.33333333,14-01-2014
2014,Pongal,Hyderabad,17.385,78.4867,47.5,66.5,85.5,111.15,17.1,20.52,4.75,5.7,0.57,0.684,26.6,22.16666667,14-01-2014
2014,NewYear,Delhi,28.6139,77.209,70,91,126,151.2,25.2,27.72,7,7.7,0.84,0.924,39.2,35.63636364,01-01-2014
