Sl. No.,State/UT,SNPP-VIIRS Detections - November 2019 to June 2020,SNPP-VIIRS Detections - November 2020 to June 2021,SNPP-VIIRS Detections - November 2021 to June 2022,SNPP-VIIRS Detections - November 2022 to June 2023,SNPP-VIIRS Detections - November 2023 to June 2024
1,Andhra Pradesh,9996,19328,14138,19367,18174
2,Arunachal Pradesh,1786,3914,3449,2447,2053
3,Assam,8924,10718,8158,9830,7639
4,Bihar,614,5179,3024,3793,2763
5,Chhattisgarh,6360,38106,25792,20306,18950
6,Delhi,21,14,3,7,16
7,Goa,47,45,20,147,36
8,Gujarat,2770,3803,2769,2342,3182
9,Haryana,68,152,135,82,166
10,Himachal Pradesh,536,4110,5280,704,10136
11,Jharkhand,2613,21713,9419,11923,7525
12,Karnataka,4232,5784,4973,13074,5500
13,Kerala,864,296,504,1550,1110
14,Madhya Pradesh,9537,47795,32728,17142,15878
15,Maharashtra,14018,34025,22052,16119,16008
16,Manipur,8800,10457,5544,10127,4498
17,Meghalaya,6762,7658,6322,6604,4319
18,Mizoram,7361,12846,8734,5798,6627
19,Nagaland,2905,4975,3471,3882,2609
20,Orissa,10602,51968,22014,33461,20973
21,Punjab,153,635,428,119,605
22,Rajasthan,3461,3402,2703,2059,4352
23,Sikkim,47,63,26,49,101
24,Tamil Nadu,1368,1220,1035,1998,3380
25,Telangana,12132,18237,13737,13117,13479
26,Tripura,4369,5015,2609,4332,2089
27,Uttar Pradesh,1548,8608,5428,3235,4424
28,Uttarakhand,759,21487,12985,5351,21033
29,West Bengal,1320,3287,1520,3096,2020
30,Andaman and Nicobar Islands,39,16,33,20,21
31,Chandigarh,2,0,0,1,1
32,Dadra and Nagar Haveli and Daman and Diu,21,34,18,16,16
33,Jammu and Kashmir,438,1098,4255,131,3829
34,Ladakh,NA,NA,27,20,32
35,Lakshadweep,0,0,0,0,0
36,Puducherry,0,1,0,0,0
Total,Total,124473,345989,223333,212249,203544
