city,location,latitude,longitude,parameter,unit,value,lastUpdated
,NMA - Nima,5.58389,-0.19968,pm10,µg/m³,,
,NMA - Nima,5.58389,-0.19968,pm25,µg/m³,,
,NMT - Nima,5.58165,-0.19898,pm10,µg/m³,,
,NMT - Nima,5.58165,-0.19898,pm25,µg/m³,,
,JTA - Jamestown,5.5401139,-0.2103972,pm10,µg/m³,,
,JTA - Jamestown,5.5401139,-0.2103972,pm25,µg/m³,,
,ADT - Asylum Down,5.570722,-0.2120555,pm10,µg/m³,,
,ADT - Asylum Down,5.570722,-0.2120555,pm25,µg/m³,,
,ADEPA - Asylum Down,5.567833,-0.2040278,pm10,µg/m³,,
,ADEPA - Asylum Down,5.567833,-0.2040278,pm25,µg/m³,,
,ADA - Asylum Down,5.566722,-0.2077778,pm10,µg/m³,,
,ADA - Asylum Down,5.566722,-0.2077778,pm25,µg/m³,,
,ELC - East Legon,5.6335571,-0.1651875,pm10,µg/m³,,
,ELC - East Legon,5.6335571,-0.1651875,pm25,µg/m³,,
,ELT - East Legon,5.6408995,-0.1695437,pm10,µg/m³,,
,ELT - East Legon,5.6408995,-0.1695437,pm25,µg/m³,,
,ELA - East Legon,5.6408137,-0.1579063,pm10,µg/m³,,
,ELA - East Legon,5.6408137,-0.1579063,pm25,µg/m³,,
,SPARTAN - IIT Kanpur,26.519,80.233,pm25,µg/m³,,
,"Delhi Technological University, Delhi - CPCB",28.744,77.12,no2,µg/m³,,
,"Delhi Technological University, Delhi - CPCB",28.744,77.12,o3,µg/m³,,
,"Delhi Technological University, Delhi - CPCB",28.744,77.12,pm25,µg/m³,,
,SPARTAN - CITEDEF,-34.56,-58.506,pm25,µg/m³,,
,IGI Airport,28.56,77.094,co,µg/m³,,
,IGI Airport,28.56,77.094,no2,µg/m³,,
,IGI Airport,28.56,77.094,o3,µg/m³,,
,IGI Airport,28.56,77.094,pm10,µg/m³,,
,IGI Airport,28.56,77.094,pm25,µg/m³,,
,Civil Lines,28.6787,77.2262,co,µg/m³,,
,Civil Lines,28.6787,77.2262,no2,µg/m³,,
,Civil Lines,28.6787,77.2262,pm10,µg/m³,,
,Civil Lines,28.6787,77.2262,pm25,µg/m³,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,co,µg/m³,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,co,ppb,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,no,ppb,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,no2,µg/m³,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,no2,ppb,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,nox,ppb,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,o3,µg/m³,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,o3,µg/m³,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,pm10,µg/m³,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,pm10,µg/m³,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,pm25,µg/m³,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,pm25,µg/m³,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,relativehumidity,%,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,so2,ppb,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,so2,µg/m³,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,temperature,c,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,wind_direction,deg,,
,"R K Puram, Delhi - DPCC",28.563262,77.186937,wind_speed,m/s,,
,SPARTAN - Vietnam Acad. Sci.,21.048,105.8,pm25,µg/m³,,
,MNB,47.929732,106.888629,co,µg/m³,,
,MNB,47.929732,106.888629,no2,µg/m³,,
,MNB,47.929732,106.888629,o3,µg/m³,,
,MNB,47.929732,106.888629,pm10,µg/m³,,
,MNB,47.929732,106.888629,pm25,µg/m³,,
,MNB,47.929732,106.888629,so2,µg/m³,,
,Beijing US Embassy,39.95,116.47,pm25,µg/m³,,
,SPARTAN - Dhaka University,23.728,90.398,pm25,µg/m³,,
,Amgalan,47.913429,106.99790699999998,co,µg/m³,,
,Amgalan,47.913429,106.99790699999998,no2,µg/m³,,
,Amgalan,47.913429,106.99790699999998,o3,µg/m³,,
,Amgalan,47.913429,106.99790699999998,pm10,µg/m³,,
,Amgalan,47.913429,106.99790699999998,pm25,µg/m³,,
,Amgalan,47.913429,106.99790699999998,so2,µg/m³,,
,SPARTAN - NUS,1.298,103.78,pm25,µg/m³,,
,Parque O'Higgins,-33.464142,-70.660797,co,µg/m³,,
,Parque O'Higgins,-33.464142,-70.660797,no2,µg/m³,,
,Parque O'Higgins,-33.464142,-70.660797,o3,µg/m³,,
,Parque O'Higgins,-33.464142,-70.660797,pm10,µg/m³,,
,Parque O'Higgins,-33.464142,-70.660797,pm25,µg/m³,,
