feature,importance
O3,0.009929051951204484
O3_s,0.009929051951204922
year,0.01487106346426557
wind_dir,0.030383411870456827
wind_dir_rad,0.030383411870460567
temp,0.03348583119384972
temp_s,0.0334858311938502
wind_speed,0.04783255828044432
wind_speed_s,0.047832558280444665
location_id_CHE_1,0.05072905177664575
location_id_DEL_4,0.05351024596652369
location_id_LUC_4,0.0624544957864051
location_id_LUC_5,0.07290854468335045
month,0.07449554022910947
location_id_CHE_2,0.07795736596861733
location_id_BEN_5,0.07809426810269916
location_id_DEL_3,0.07973106765272511
location_id_BEN_3,0.08137336542790415
dayofyear,0.08585130747085973
location_id_KOL_2,0.08930138524623323
location_id_HYD_4,0.09010163480849481
location_id_MUM_1,0.09232315598894356
location_id_AHM_3,0.09579308558879199
location_id_JAI_2,0.09857298736154481
location_id_KOL_5,0.0994080571256707
location_id_DEL_2,0.10370045235573286
location_id_CHE_3,0.11052474473980349
location_id_LUC_1,0.11424716811951256
location_id_LUC_3,0.11607004408506483
location_id_MUM_3,0.1252880090174935
location_id_HYD_3,0.12638965259188178
city_Kolkata,0.127543262731992
location_id_CHE_5,0.12878144603454497
location_id_AHM_1,0.13006649219118632
city_Jaipur,0.14327051474786665
wind_u,0.149931137399491
location_id_BEN_4,0.15691725411317195
wind_v,0.16171644482300507
location_id_HYD_5,0.16336314015888737
location_id_HYD_2,0.1766618782629501
location_id_AHM_4,0.17936778363244982
location_id_KOL_1,0.1818318877594564
location_id_AHM_2,0.19747682580188014
location_id_HYD_1,0.1984816992257724
location_id_KOL_4,0.19987337389279325
location_id_PAT_5,0.20019514680319855
city_Mumbai,0.20301480543889994
farm_bearing,0.20631250788503067
location_id_JAI_4,0.21653795385007385
city_Hyderabad,0.2171357012097173
location_id_DEL_5,0.21741466445013308
fire_bearing,0.2175509622757685
location_id_MUM_4,0.22451598343100582
location_id_BEN_2,0.22730539065038696
location_id_PAT_2,0.23834140377016116
city_Ahmedabad,0.2399366951301482
location_id_MUM_2,0.2411344931317529
location_id_JAI_1,0.26225330687049603
location_id_PAT_1,0.2634664300526315
location_id_PAT_3,0.2710207143483451
location_id_AHM_5,0.27271831471688557
city_Lucknow,0.2798114507063757
location_id_JAI_5,0.28408201480802253
location_id_LUC_2,0.28590028792573974
location_id_MUM_5,0.2888088437350571
location_id_JAI_3,0.29752628087924854
location_id_CHE_4,0.3023139577216827
location_id_KOL_3,0.30408878724544985
location_id_PAT_4,0.31991343230767744
location_id_DEL_1,0.346210409707519
road_bearing,0.35696863971571113
location_id_BEN_1,0.39118622989387614
industry_bearing,0.4002195994426122
city_Bengaluru,0.43208569681509523
city_Delhi,0.4504792141800237
city_Chennai,0.470453482923727
season_monsoon,0.5197378699338729
city_Patna,0.5318400689324742
season_post,0.5673483527237019
align_r,0.6059451325859961
align_f,0.6310509525176151
align_i,0.6785549574266191
season_summer,0.7026512146910885
season_winter,0.7298170186675519
align_fire,0.741893133195367
dist_to_farm_s,0.8261982154478617
dist_to_farm,0.8261982154478628
dist_to_road,1.214506767133598
dist_to_road_s,1.2145067671335985
traffic_index,1.4010946673643934
traffic_index_s,1.401094667364396
dist_to_industry,1.7589801194041517
dist_to_industry_s,1.758980119404152
PM2.5_s,1.8745143766363157
PM2.5,1.8745143766363173
humidity_s,2.3340374452110093
humidity,2.3340374452110093
CO,2.4836880767429887
CO_s,2.4836880767429914
PM10_s,2.543552131684719
PM10,2.5435521316847227
NO2_s,3.200605323972795
NO2,3.2006053239728
SO2,3.324892693520783
SO2_s,3.324892693520789
fire_nearby,3.66719377271934
fire_min_dist_km,5.360657387747648
fire_min_dist_km_s,5.360657387747648
